speaker,timestamp,utterance,annotation,vote,start,end,startRole,endRole,player_index,dominance,valence,arousal
James,00:14,Is this disco-Halloween?,['No Strategy'],4.0,14.0,78.0,Robber,Villager,3.0,0.4325222,0.5025699,0.44208485
Justin,01:18,Man. Did anyone else feel like they were falling when their eyes were closed?,['No Strategy'],2.0,78.0,81.0,Werewolf,Werewolf,0.0,0.5243423,0.28082037,0.53565
Mitchell,01:21,Did we ever figure...,['No Strategy'],0.0,81.0,83.0,Insomniac,Insomniac,4.0,0.66441655,0.4377044,0.6555439
Paul,01:23,"No, but that does have that happened to me once here.",['No Strategy'],4.0,83.0,85.0,Villager,Robber,2.0,0.547507,0.6016087,0.5572816
James,01:25,"Did we ever figure out why he says, one night fever.",['No Strategy'],4.0,85.0,88.0,Robber,Villager,3.0,0.5328552,0.63912344,0.5389154
Justin,01:28,Just Easter eggs. All right. So these are the tokens we can use to represent people. So Paul is saying he was a villager.,['Evidence'],2.0,88.0,92.0,Werewolf,Werewolf,0.0,0.64322186,0.70970494,0.6697526
Paul,01:32,I was the villager. I have no information.,['Identity Declaration'],4.0,92.0,94.0,Villager,Robber,2.0,0.4764288,0.52371186,0.4189462
Mitchell,01:34,I was insomniac.,['Identity Declaration'],0.0,94.0,96.0,Insomniac,Insomniac,4.0,0.32195464,0.3123632,0.22814241
Laura,01:36,I was villager.,['Identity Declaration'],2.0,96.0,98.0,Villager,Villager,1.0,0.34353727,0.48265645,0.40426755
James,01:39,"Yeah, well that's cause I was dancing.",['Defense'],4.0,99.0,102.0,Robber,Villager,3.0,0.4273746,0.62093574,0.39391568
Justin,01:42,I tend to move the whole time.,['Defense'],2.0,102.0,105.0,Werewolf,Werewolf,0.0,0.5648159,0.59375453,0.58083797
Paul,01:45,I'm erratic.,['Defense'],4.0,105.0,107.0,Villager,Robber,2.0,0.4253772,0.3823334,0.37097526
Justin,01:47,"So James and I, what did you, did you wake up? We'll wait to see what James and I say.",['Interrogation'],2.0,107.0,112.0,Werewolf,Werewolf,0.0,0.58080685,0.7157882,0.57355064
James,01:54,Last I saw that was the situation.,['No Strategy'],4.0,114.0,120.0,Robber,Villager,3.0,0.51030207,0.58647776,0.4854464
James,02:03,"I did. And I was disappointed and I was like fuck, witness protection.",['Evidence'],4.0,123.0,128.0,Robber,Villager,3.0,0.6712409,0.49893197,0.6538495
Justin,02:08,"All right. Well, I can confirm James's story that he was the Robber.","['Defense', 'Evidence']",2.0,128.0,136.0,Werewolf,Werewolf,0.0,0.59233874,0.66379714,0.5681581
Mitchell,02:16,All right. I woke up as myself.,['Evidence'],0.0,136.0,138.0,Insomniac,Insomniac,4.0,0.46549395,0.50249374,0.44238663
Justin,02:19,Boring. Is this really?,['No Strategy'],2.0,139.0,141.0,Werewolf,Werewolf,0.0,0.6660361,0.24541733,0.6796405
James,02:21,Is this real life because is this just a fuzzy wuzzy?,['No Strategy'],4.0,141.0,144.0,Robber,Villager,3.0,0.7051835,0.9697061,0.73643947
Mitchell,02:25,Here's what could happen? I could be Werewolf because I have no alibi. He also could be.,"['Accusation', 'Defense']",0.0,145.0,151.0,Insomniac,Insomniac,4.0,0.6715997,0.7540916,0.69740057
Laura,02:34,Technically I could also be a Werewolf.,['Accusation'],2.0,154.0,157.0,Villager,Villager,1.0,0.60732746,0.80438775,0.63810647
James,02:41,"Well, I know Paul's telling the truth cause I stole his card and...","['Defense', 'Evidence']",4.0,161.0,165.0,Robber,Villager,3.0,0.58792,0.5918082,0.59120184
